title:TN02_L1_NLYL_F, start timestamp:1594282194.445998, stop timestamp:1594282255.520565, headset type:EPOCPLUS, headset serial:3B9AE84A, headset firmware:625, subject name:Minh&Ha, channels:49, sampling rate:eeg_128;mot_64, samples:7754      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.GyroX,MOT.GyroY,MOT.GyroZ,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1594282194.445998,24.000000,0.000000,4186.538574,4087.179443,4177.820313,4182.692383,4162.436035,4164.487305,4127.051270,4181.666504,4167.948730,4171.538574,4160.897461,4224.230957,4165.000000,4122.307617,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,12.000000,0.000000,8146.000000,8120.000000,8162.000000,4182.000000,8013.000000,7652.000000,8179.000000,8159.000000,7870.000000
1594282194.453779,25.000000,0.000000,4204.743652,4096.666504,4188.717773,4183.974121,4158.846191,4161.794922,4142.563965,4181.922852,4165.769043,4167.179688,4153.461426,4225.769043,4165.256348,4130.769043,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,
1594282194.461660,26.000000,0.000000,4224.358887,4091.025635,4197.436035,4189.743652,4160.000000,4160.000000,4133.846191,4185.256348,4161.666504,4160.256348,4153.717773,4229.871582,4157.820313,4131.282227,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,13.000000,0.000000,8139.000000,8123.000000,8168.000000,4189.000000,8019.000000,7665.000000,8174.000000,8168.000000,7873.000000
1594282194.469441,27.000000,0.000000,4243.846191,4093.333252,4205.256348,4193.205078,4158.717773,4155.897461,4137.692383,4184.615234,4160.256348,4164.230957,4164.230957,4244.102539,4165.512695,4144.487305,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,
1594282194.477423,28.000000,0.000000,4264.615234,4097.820313,4210.128418,4191.282227,4153.077148,4154.102539,4141.794922,4177.051270,4161.794922,4167.179688,4166.666504,4252.563965,4178.846191,4161.922852,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,14.000000,0.000000,8141.000000,8121.000000,8161.000000,4171.000000,8014.000000,7654.000000,8177.000000,8162.000000,7872.000000
1594282194.485404,29.000000,0.000000,4282.820313,4087.564209,4201.794922,4189.487305,4148.333496,4154.230957,4132.179688,4176.538574,4164.102539,4161.922852,4163.846191,4248.077148,4176.153809,4165.256348,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,
1594282194.493286,30.000000,0.000000,4292.820313,4092.051270,4211.666504,4187.948730,4145.769043,4148.717773,4142.179688,4177.307617,4160.256348,4156.025879,4165.128418,4247.051270,4167.307617,4171.666504,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,15.000000,0.000000,8147.000000,8119.000000,8165.000000,4180.000000,8012.000000,7662.000000,8178.000000,8164.000000,7872.000000
1594282194.501267,31.000000,0.000000,4306.666504,4091.794922,4210.128418,4191.794922,4153.461426,4148.589844,4129.743652,4176.153809,4159.871582,4163.974121,4175.769043,4256.538574,4179.487305,4178.717773,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,
1594282194.509149,32.000000,0.000000,4320.769043,4099.358887,4209.615234,4196.666504,4161.666504,4155.384766,4133.846191,4180.000000,4161.025879,4161.794922,4180.384766,4270.512695,4193.333496,4189.487305,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,16.000000,0.000000,8143.000000,8118.000000,8164.000000,4180.000000,8015.000000,7656.000000,8179.000000,8166.000000,7871.000000
1594282194.517131,33.000000,0.000000,4320.897461,4103.846191,4221.666504,4198.205078,4162.436035,4160.000000,4141.282227,4179.871582,4159.230957,4155.769043,4176.410156,4282.820313,4192.563965,4198.717773,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,
1594282194.525012,34.000000,0.000000,4311.025879,4085.769287,4215.000000,4197.563965,4156.538574,4154.871582,4130.000000,4176.794922,4161.025879,4172.179688,4181.666504,4279.743652,4192.179688,4193.333496,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,17.000000,0.000000,8144.000000,8120.000000,8164.000000,4178.000000,8016.000000,7653.000000,8181.000000,8164.000000,7871.000000
1594282194.532994,35.000000,0.000000,4301.538574,4084.358887,4219.358887,4192.563965,4145.641113,4148.589844,4142.179688,4180.128418,4161.410156,4181.410156,4184.487305,4269.871582,4192.436035,4190.256348,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,
1594282194.540875,36.000000,0.000000,4294.487305,4080.256348,4216.666504,4189.743652,4142.179688,4153.461426,4136.922852,4182.820313,4156.922852,4170.897461,4178.717773,4267.820313,4188.846191,4185.897461,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,18.000000,0.000000,8151.000000,8118.000000,8164.000000,4180.000000,8030.000000,7663.000000,8179.000000,8165.000000,7871.000000
1594282194.548857,37.000000,0.000000,4283.717773,4078.205078,4211.025879,4188.589844,4147.436035,4158.333496,4139.487305,4178.461426,4152.563965,4161.025879,4173.589844,4261.282227,4181.538574,4181.153809,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,
1594282194.556739,38.000000,0.000000,4278.974121,4087.051270,4218.333496,4189.743652,4160.769043,4158.846191,4144.871582,4175.512695,4157.563965,4163.846191,4172.692383,4253.589844,4181.153809,4180.128418,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,19.000000,0.000000,8148.000000,8120.000000,8165.000000,4178.000000,8001.000000,7660.000000,8180.000000,8164.000000,7871.000000
1594282194.564720,39.000000,0.000000,4271.282227,4085.512939,4209.230957,4194.102539,4176.410156,4162.179688,4132.179688,4178.717773,4164.871582,4172.948730,4181.538574,4257.436035,4181.410156,4172.563965,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,
1594282194.572602,40.000000,0.000000,4248.205078,4089.358887,4206.538574,4195.000000,4172.436035,4161.794922,4145.384766,4180.641113,4163.077148,4172.051270,4186.922852,4254.102539,4174.743652,4167.179688,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,20.000000,0.000000,8153.000000,8122.000000,8167.000000,4167.000000,8008.000000,7654.000000,8178.000000,8164.000000,7872.000000
1594282194.580583,41.000000,0.000000,4231.410156,4079.487061,4198.077148,4190.897461,4164.102539,4159.230957,4138.333496,4183.846191,4162.948730,4166.794922,4172.051270,4235.641113,4171.538574,4156.538574,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,
1594282194.588465,42.000000,0.000000,4222.051270,4076.153809,4191.922852,4182.820313,4167.051270,4159.487305,4135.384766,4180.384766,4159.230957,4163.077148,4157.692383,4228.333496,4167.820313,4150.128418,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,21.000000,0.000000,8151.000000,8115.000000,8165.000000,4171.000000,7998.000000,7656.000000,8178.000000,8162.000000,7872.000000
1594282194.596447,43.000000,0.000000,4213.077148,4083.333252,4201.666504,4180.641113,4168.589844,4163.077148,4145.128418,4173.077148,4153.461426,4165.641113,4166.666504,4243.461426,4167.051270,4156.666504,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,
1594282194.604328,44.000000,0.000000,4202.820313,4072.051270,4189.230957,4184.487305,4170.641113,4167.948730,4131.666504,4172.436035,4159.743652,4173.205078,4176.282227,4250.000000,4171.282227,4153.589844,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,22.000000,0.000000,8147.000000,8118.000000,8159.000000,4171.000000,8036.000000,7643.000000,8180.000000,8140.000000,7872.000000
1594282194.612310,45.000000,0.000000,4183.589844,4076.281982,4185.128418,4179.871582,4172.563965,4160.641113,4138.461426,4170.384766,4161.025879,4161.794922,4172.307617,4239.871582,4169.615234,4146.153809,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,
1594282194.620191,46.000000,0.000000,4171.794922,4075.769287,4186.153809,4174.102539,4169.358887,4155.256348,4135.769043,4170.000000,4155.000000,4143.717773,4172.307617,4234.230957,4167.563965,4140.256348,0.000000,3.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,23.000000,0.000000,8150.000000,8119.000000,8158.000000,4185.000000,8016.000000,7657.000000,8175.000000,8165.000000,7869.000000
